timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1591606950079,-40,-58,-52,-54,0.141,0.0126,0.5579,0.36879998,0.7816,9.7684,0.011916,-0.042472,-0.754704,0.65458
1591606950093,-40,-58,-52,-54,0.141,0.0126,0.5579,0.36879998,0.7816,9.7684,0.011916,-0.042472,-0.754704,0.65458
1591606950105,-40,-58,-52,-54,-0.1129,-0.0016,0.3809,0.36789998,0.77629995,9.7689,0.011816,-0.042222,-0.754053,0.655347
1591606950117,-40,-58,-52,-54,-0.1129,-0.0016,0.3809,0.36789998,0.77629995,9.7689,0.011816,-0.042222,-0.754053,0.655347
1591606950130,-40,-58,-52,-54,-0.1294,-0.0037,0.2531,0.355,0.7784,9.769199,0.012407,-0.041863,-0.753707,0.655758
1591606950143,-40,-58,-52,-54,-0.101799995,0.0224,0.0765,0.347,0.78169996,9.769199,0.012875,-0.041705,-0.75292,0.656662
1591606950154,-40,-58,-52,-54,-0.101799995,0.0224,0.0765,0.347,0.78169996,9.769199,0.012875,-0.041705,-0.75292,0.656662
1591606950167,-40,-58,-52,-54,-0.0964,-0.0072999997,-0.08,0.3317,0.7919,9.7689,0.013838,-0.041575,-0.75235,0.657304
1591606950179,-40,-58,-52,-54,0.006,-0.0093,-0.1086,0.32729998,0.80359995,9.7681,0.014419,-0.041874,-0.752105,0.657552
1591606950192,-40,-58,-52,-54,0.006,-0.0093,-0.1086,0.32729998,0.80359995,9.7681,0.014419,-0.041874,-0.752105,0.657552
1591606950206,-40,-58,-52,-54,-0.0411,-0.0241,-0.2556,0.3157,0.80869997,9.7681,0.01507,-0.041664,-0.751541,0.658196
1591606950219,-40,-58,-52,-54,-0.0411,-0.0241,-0.2556,0.3157,0.80869997,9.7681,0.01507,-0.041664,-0.751541,0.658196
1591606950233,-40,-58,-52,-54,-0.0016999999,-0.0103,-0.2653,0.3057,0.81439996,9.7678995,0.015649,-0.041551,-0.751505,0.658231
1591606950248,-40,-58,-52,-54,0.0173,-0.051,-0.1388,0.29639998,0.80609995,9.7689,0.015758,-0.040904,-0.750959,0.658892
1591606950265,-40,-58,-52,-54,0.058599997,-0.0692,-0.021599999,0.2846,0.80469996,9.7694,0.016178,-0.040446,-0.750792,0.659099
1591606950279,-40,-58,-52,-54,0.058599997,-0.0692,-0.021599999,0.2846,0.80469996,9.7694,0.016178,-0.040446,-0.750792,0.659099
1591606950295,-40,-58,-52,-54,0.1392,-0.0602,0.055999998,0.28239998,0.79569995,9.7702,0.016,-0.04001,-0.750145,0.659867
1591606950308,-40,-58,-52,-54,0.0901,-0.0233,-0.22839999,0.2726,0.798,9.7703,0.016485,-0.039755,-0.74959,0.660501
1591606950322,-40,-58,-52,-54,0.115899995,0.0082,0.0264,0.27629998,0.7958,9.7703,0.016311,-0.039779,-0.748908,0.661277
1591606950336,-40,-58,-52,-54,0.115899995,0.0082,0.0264,0.27629998,0.7958,9.7703,0.016311,-0.039779,-0.748908,0.661277
1591606950350,-40,-58,-52,-54,0.0075999997,-0.019,-0.3172,0.2669,0.7937,9.7708,0.016645,-0.039363,-0.748175,0.662123
1591606950365,-40,-58,-52,-54,-0.0163,0.0245,-0.0039,0.26139998,0.78929996,9.771299,0.016751999,-0.038989,-0.747359,0.663063
1591606950379,-40,-58,-52,-54,-0.0163,0.0245,-0.0039,0.26139998,0.78929996,9.771299,0.016751999,-0.038989,-0.747359,0.663063
1591606950392,-40,-58,-52,-54,-0.0349,0.0267,0.0155,0.26049998,0.78709996,9.7715,0.016765,-0.03885,-0.746467,0.664075
1591606950406,-40,-58,-52,-54,0.18769999,0.0861,-0.1206,0.2731,0.79639995,9.7704,0.016652,-0.039613,-0.745571,0.665039
1591606950419,-40,-58,-52,-54,0.18769999,0.0861,-0.1206,0.2731,0.79639995,9.7704,0.016652,-0.039613,-0.745571,0.665039
1591606950432,-40,-58,-52,-54,0.129,0.1063,-0.1011,0.273,0.7959,9.7704,0.016674,-0.039571,-0.744972,0.665712
1591606950446,-40,-58,-52,-54,0.26819998,0.1563,-0.0508,0.2907,0.80469996,9.769199,0.016344,-0.040493,-0.744236,0.666487
1591606950459,-40,-58,-52,-54,0.26819998,0.1563,-0.0508,0.2907,0.80469996,9.769199,0.016344,-0.040493,-0.744236,0.666487
1591606950472,-40,-58,-52,-54,-0.030199999,0.1068,0.3611,0.2949,0.80509996,9.769,0.016191,-0.040654,-0.744312,0.666396
1591606950487,-40,-58,-52,-54,-0.1187,0.0011999999,0.0479,0.2952,0.81259996,9.7684,0.016449999,-0.040946,-0.744127,0.666579
1591606950499,-40,-58,-52,-54,-0.1187,0.0011999999,0.0479,0.2952,0.81259996,9.7684,0.016449999,-0.040946,-0.744127,0.666579
1591606950512,-40,-58,-52,-54,-0.0103,0.0501,-2.0E-4,0.2947,0.8226,9.7676,0.016813,-0.041309,-0.744019,0.666667
1591606950525,-40,-58,-52,-54,0.2197,0.096599996,0.0892,0.2999,0.835,9.766399,0.017064,-0.041945,-0.743577,0.667114
1591606950538,-40,-58,-52,-54,0.2197,0.096599996,0.0892,0.2999,0.835,9.766399,0.017064,-0.041945,-0.743577,0.667114
1591606950552,-40,-58,-52,-54,-0.044,0.109799996,-0.4008,0.28919998,0.84129995,9.7662,0.017685,-0.041823998,-0.743629,0.667047
1591606950566,-40,-58,-52,-54,-0.1239,0.0756,-0.027999999,0.28079998,0.8461,9.766,0.018163,-0.041723,-0.743666,0.666999
1591606950580,-40,-58,-52,-54,0.024,0.044499997,0.1183,0.28079998,0.8461,9.766,0.017912,-0.041384,-0.74378,0.6669
1591606950592,-40,-58,-52,-54,0.024,0.044499997,0.1183,0.27989998,0.838,9.7667,0.017912,-0.041384,-0.74378,0.6669
1591606950606,-40,-58,-52,-54,0.20449999,0.0743,0.04,0.2857,0.8376,9.7666,0.01769,-0.041562,-0.743624,0.667069
1591606950620,-40,-58,-52,-54,0.31649998,0.038599998,0.0788,0.2816,0.8341,9.767,0.017723,-0.041289,-0.743706,0.666994
1591606950634,-40,-58,-52,-54,0.31649998,0.038599998,0.0788,0.2816,0.8341,9.767,0.017723,-0.041289,-0.743706,0.666994
1591606950648,-40,-58,-52,-54,-0.0150999995,-0.0242,0.2155,0.27989998,0.82839996,9.7675,0.017574,-0.041022,-0.744037,0.666646
1591606950662,-40,-58,-52,-54,0.34809998,0.0039,0.1274,0.2794,0.8296,9.7674,0.017619,-0.041058,-0.744247,0.666407
1591606950675,-40,-58,-52,-54,0.34809998,0.0039,0.1274,0.2794,0.8296,9.7674,0.017619,-0.041058,-0.744247,0.666407
1591606950688,-40,-58,-52,-54,-0.23709999,-0.0743,-0.0889,0.25669998,0.8294,9.7681,0.01845,-0.040291,-0.74472,0.665903
1591606950702,-40,-58,-52,-54,-0.0661,-0.0094,-0.0985,0.25239998,0.8332,9.7678995,0.018738,-0.040288,-0.744715,0.665901
1591606950715,-40,-58,-52,-54,-0.0661,-0.0094,-0.0985,0.25239998,0.8332,9.7678995,0.018738,-0.040288,-0.744715,0.665901
1591606950728,-40,-58,-52,-54,0.0155,-0.021599999,-0.1572,0.24919999,0.8355,9.767799,0.018929,-0.040276,-0.744928,0.665658
1591606950745,-40,-58,-52,-54,0.0117999995,-0.053099997,-0.039499998,0.24309999,0.8376,9.7677,0.019215,-0.040156,-0.74524,0.665308
1591606950758,-40,-58,-52,-54,0.0117999995,-0.053099997,-0.039499998,0.24309999,0.8376,9.7677,0.019215,-0.040156,-0.74524,0.665308
1591606950770,-40,-58,-52,-54,-0.0166,-0.035,0.1073,0.2324,0.8391,9.7678995,0.019654,-0.039858,-0.745581,0.664931
1591606950783,-40,-58,-52,-54,-0.1892,-0.0486,0.0101,0.21859999,0.8527,9.767,0.020609,-0.039925,-0.746089,0.664328
1591606950794,-40,-58,-52,-54,-0.1892,-0.0486,0.0101,0.21859999,0.8527,9.767,0.020609,-0.039925,-0.746089,0.664328
1591606950806,-40,-58,-52,-54,-0.19129999,-0.0184,-0.5189,0.20109999,0.8617,9.7666,0.021576,-0.039678,-0.746198,0.66419
1591606950817,-40,-58,-52,-54,-0.19129999,-0.0184,-0.5189,0.20109999,0.8617,9.7666,0.021576,-0.039678,-0.746198,0.66419
1591606950829,-40,-58,-52,-54,0.1269,0.0348,-0.1369,0.19659999,0.85749996,9.767099,0.021591,-0.039372,-0.746383,0.663999
1591606950841,-40,-58,-52,-54,0.0368,0.012,0.0093,0.18869999,0.8509,9.767799,0.021658,-0.038854,-0.746585,0.6638
1591606950853,-40,-58,-52,-54,0.0368,0.012,0.0093,0.18869999,0.8509,9.767799,0.021658,-0.038854,-0.746585,0.6638
1591606950864,-40,-58,-52,-54,0.0287,-0.0634,0.205,0.1771,0.8479,9.7683,0.021975,-0.038361,-0.746991,0.663361
1591606950875,-40,-58,-52,-54,0.0287,-0.0634,0.205,0.1771,0.8479,9.7683,0.021975,-0.038361,-0.746991,0.663361
1591606950887,-40,-58,-52,-54,0.24589999,-0.0018,0.1461,0.1855,0.8452,9.7683,0.021554999,-0.038545,-0.747137,0.663201
1591606950899,-40,-58,-52,-54,2.0E-4,-0.023799999,0.2148,0.1762,0.84749997,9.7683,0.021973,-0.038329,-0.747379,0.662926
1591606950911,-40,-58,-52,-54,2.0E-4,-0.023799999,0.2148,0.1762,0.84749997,9.7683,0.021973,-0.038329,-0.747379,0.662926
1591606950924,-40,-58,-52,-54,-0.147,0.0066,-0.0594,0.147,0.8563,9.768,0.023379,-0.03768,-0.747495,0.662784
1591606950936,-40,-58,-52,-54,-0.147,0.0066,-0.0594,0.147,0.8563,9.768,0.023379,-0.03768,-0.747495,0.662784
1591606950949,-40,-58,-52,-54,0.0738,0.0903,-0.4026,0.1222,0.8609,9.768,0.024481,-0.037016,-0.747497,0.66278
1591606950963,-40,-58,-52,-54,-0.2983,-0.1343,-0.47259998,0.082499996,0.8502,9.7692995,0.025623,-0.035269,-0.747724,0.662576
1591606950976,-40,-58,-52,-54,-0.2983,-0.1343,-0.47259998,0.082499996,0.8502,9.7692995,0.025623,-0.035269,-0.747724,0.662576
1591606950990,-40,-58,-52,-54,-0.1282,-0.1854,0.3601,0.0791,0.84239995,9.7699995,0.025485,-0.034863,-0.747839,0.662473
1591606951002,-40,-58,-52,-54,0.052199997,-0.1317,0.2412,0.0751,0.82799995,9.771299,0.025163,-0.034164,-0.747559,0.662838
1591606951015,-40,-58,-52,-54,0.052199997,-0.1317,0.2412,0.0751,0.82799995,9.771299,0.025163,-0.034164,-0.747559,0.662838
1591606951029,-40,-58,-52,-54,0.23969999,0.151,-0.2972,0.0642,0.8393,9.7704,0.025984,-0.034212,-0.747176,0.663236
1591606951043,-40,-58,-52,-54,0.1709,0.1969,-0.71599996,0.064399995,0.87189996,9.7675,0.027119,-0.035436,-0.746438,0.663956
1591606951059,-40,-58,-52,-54,0.1709,0.1969,-0.71599996,0.064399995,0.87189996,9.7675,0.027119,-0.035436,-0.746438,0.663956
1591606951075,-40,-58,-52,-54,0.2548,0.22569999,-0.43249997,0.0491,0.8627,9.768499,0.027399,-0.034559,-0.746263,0.664187
1591606951091,-40,-58,-52,-54,0.1707,0.14479999,0.2719,0.044999998,0.8455,9.7699995,0.026977,-0.033759,-0.746191,0.664327
1591606951107,-40,-58,-52,-54,0.1495,-0.033099998,0.5931,0.026899999,0.81759995,9.7724,0.026712,-0.032083,-0.746327,0.664268
1591606951120,-40,-58,-52,-54,0.1453,-0.0676,0.5323,0.0213,0.7933,9.7744,0.026087,-0.030977,-0.746706,0.663919
1591606951131,-40,-58,-52,-54,0.1453,-0.0676,0.5323,0.0213,0.7933,9.7744,0.026087,-0.030977,-0.746706,0.663919
1591606951143,-40,-58,-52,-54,-0.0371,-0.0828,0.1788,0.0077,0.7888,9.774799,0.026455,-0.030343,-0.746621,0.664029
1591606951156,-40,-58,-52,-54,-0.0371,-0.0828,0.1788,0.0077,0.7888,9.774799,0.026455,-0.030343,-0.746621,0.664029
1591606951168,-40,-58,-52,-54,-0.1522,-0.0633,-0.0466,-0.0144,0.789,9.774799,0.027301,-0.029603,-0.746793,0.663835
1591606951180,-40,-58,-52,-54,-0.081199996,-0.028299998,-0.3698,-0.0266,0.79319996,9.7744,0.027924,-0.029336,-0.746463,0.664192
1591606951194,-40,-58,-52,-54,-0.081199996,-0.028299998,-0.3698,-0.0266,0.79319996,9.7744,0.027924,-0.029336,-0.746463,0.664192
1591606951208,-40,-58,-52,-54,-0.1196,-0.060999997,-0.29189998,-0.0372,0.78669995,9.7748995,0.028118,-0.028714,-0.74618,0.664529
1591606951222,-40,-58,-52,-54,-0.1003,-0.13419999,-0.2139,-0.0369,0.78139997,9.7753,0.027938,-0.028516,-0.745952,0.664801
1591606951235,-40,-58,-52,-54,-0.1003,-0.13419999,-0.2139,-0.0369,0.78139997,9.7753,0.027938,-0.028516,-0.745952,0.664801
1591606951249,-40,-58,-52,-54,-0.0316,-0.1235,0.068799995,-0.0369,0.76089996,9.776999,0.02726,-0.027711,-0.745492,0.665379
1591606951263,-40,-58,-52,-54,0.0356,-0.1184,0.2057,-0.0356,0.75589997,9.7774,0.027066,-0.027537,-0.744869,0.666091
1591606951279,-40,-58,-52,-54,0.0356,-0.1184,0.2057,-0.0356,0.75589997,9.7774,0.027066,-0.027537,-0.744869,0.666091
1591606951295,-40,-58,-52,-54,0.049,0.0015,0.1761,-0.029399998,0.7535,9.777599,0.026781,-0.02763,-0.744128,0.666927
1591606951311,-40,-58,-52,-54,0.0852,0.1187,0.0977,-0.0264,0.754,9.7775,0.026716,-0.027721,-0.743352,0.667791
1591606951326,-40,-58,-52,-54,0.16239999,0.21599999,0.0796,-0.015299999,0.7744,9.776,0.027028,-0.028837,-0.742418,0.668769
1591606951343,-40,-58,-52,-54,0.318,0.3116,-0.027999999,-0.0139999995,0.7769,9.7758,0.027097,-0.028944,-0.741687,0.669572
1591606951359,-40,-58,-52,-54,0.318,0.3116,-0.027999999,-0.0139999995,0.7769,9.7758,0.027097,-0.028944,-0.741687,0.669572
1591606951375,-40,-58,-52,-54,0.2719,0.26909998,0.1013,0.0026,0.7998,9.7739,0.027271999,-0.030362999,-0.741094,0.670159
1591606951391,-40,-58,-52,-54,0.1697,0.17729999,0.23879999,-0.003,0.8032,9.7736,0.027611,-0.030297,-0.741054,0.670192
1591606951408,-40,-58,-52,-54,0.0747,0.067099996,0.17119999,-0.0061,0.8154,9.7726,0.02815,-0.030646,-0.740866,0.670361
1591606951425,-40,-58,-52,-54,0.0991,-0.024799999,0.0154,-0.0109,0.829,9.7715,0.028785,-0.031008,-0.741111,0.670047
1591606951450,-40,-58,-52,-54,0.0513,-0.111999996,0.0056,-0.0121,0.8279,9.7716,0.028789,-0.030932,-0.741252,0.669895
1591606951465,-40,-58,-52,-54,-0.0574,-0.2197,0.15349999,-0.0209,0.8375,9.7706995,0.029442,-0.031003,-0.741465,0.669627
1591606951481,-40,-58,-52,-54,-0.0574,-0.2197,0.15349999,-0.0209,0.8375,9.7706995,0.029442,-0.031003,-0.741465,0.669627
1591606951495,-40,-58,-52,-54,2.9999999E-4,-0.134,-0.110999994,-0.0297,0.8401,9.7705,0.029866,-0.030796,-0.741401,0.669689
1591606951509,-40,-58,-52,-54,0.0335,-0.053,-0.5017,-0.0335,0.85709995,9.769,0.030594,-0.031313,-0.741365,0.669671
1591606951522,-40,-58,-52,-54,-0.152,-0.1301,-0.4037,-0.044099998,0.8558,9.7691,0.030952,-0.0309,-0.741281,0.669767
1591606951537,-40,-58,-52,-54,-0.152,-0.1301,-0.4037,-0.044099998,0.8558,9.7691,0.030952,-0.0309,-0.741281,0.669767
1591606951550,-40,-58,-52,-54,-0.0034999999,-0.1257,-0.0707,-0.045399997,0.85139996,9.7695,0.030867,-0.030669,-0.740951,0.670147
1591606951564,-40,-58,-52,-54,0.052699998,-0.062,0.281,-0.0429,0.8368,9.7706995,0.030288,-0.030185,-0.740602,0.670581
1591606951577,-40,-58,-52,-54,0.052699998,-0.062,0.281,-0.0429,0.8368,9.7706995,0.030288,-0.030185,-0.740602,0.670581
1591606951591,-40,-58,-52,-54,0.2183,-0.012999999,0.31039998,-0.0418,0.83669996,9.7706995,0.030267,-0.030197,-0.74008,0.671157
1591606951607,-40,-58,-52,-54,0.211,0.0263,0.114999995,-0.024699999,0.84639996,9.7699995,0.029977,-0.031124,-0.739537,0.671726
1591606951622,-40,-58,-52,-54,0.1486,0.020399999,-0.0011999999,-0.0211,0.8621,9.7685995,0.030392,-0.031838,-0.739362,0.671867
1591606951639,-40,-58,-52,-54,0.1486,0.020399999,-0.0011999999,-0.0211,0.8621,9.7685995,0.030392,-0.031838,-0.739362,0.671867
1591606951655,-40,-58,-52,-54,0.1554,0.017099999,-0.1471,-0.0083,0.8752,9.7675,0.030375,-0.032753,-0.738913,0.672317
1591606951670,-40,-58,-52,-54,0.1039,0.055099998,-0.16579999,-0.0058,0.88619995,9.7664995,0.030671,-0.033248,-0.738739,0.672471
1591606951685,-40,-58,-52,-54,0.1017,0.042,-0.2234,0.0061,0.8994,9.7653,0.030688,-0.034142,-0.738353,0.672849
1591606951701,-40,-58,-52,-54,0.1017,0.042,-0.2234,0.0061,0.8994,9.7653,0.030688,-0.034142,-0.738353,0.672849
1591606951719,-40,-58,-52,-54,0.1577,0.0206,-0.21339999,0.0089,0.9011,9.7651,0.030642,-0.034304,-0.73838097,0.672813
1591606951733,-40,-58,-52,-54,0.0546,-0.012,-0.0179,0.0139,0.8946,9.765699,0.030230999,-0.034228,-0.738306,0.672917
1591606951748,-40,-58,-52,-54,-0.0127,-0.047799997,0.29549998,0.0127,0.8911,9.766,0.030168,-0.034046,-0.738126,0.673127
1591606951761,-40,-58,-52,-54,0.0729,-0.047799997,0.1876,0.015299999,0.8912,9.766,0.030078,-0.034131,-0.73799,0.673275
1591606951773,-40,-58,-52,-54,0.0729,-0.047799997,0.1876,0.015299999,0.8912,9.766,0.030078,-0.034131,-0.73799,0.673275
1591606951784,-40,-58,-52,-54,0.121999994,-0.0284,-0.0173,0.015199999,0.9012,9.7651,0.030425,-0.034506,-0.737963,0.67327
1591606951796,-40,-58,-52,-54,0.121999994,-0.0284,-0.0173,0.015199999,0.9012,9.7651,0.030425,-0.034506,-0.737963,0.67327
1591606951809,-40,-58,-52,-54,-0.0127,-0.0178,-0.0655,0.0127,0.9102,9.764299,0.030835,-0.034757,-0.737899,0.67330897
1591606951821,-40,-58,-52,-54,0.07,0.0218,-0.21169999,0.0084,0.91959995,9.7634,0.031325,-0.03496,-0.737785,0.6734
1591606951832,-40,-58,-52,-54,0.07,0.0218,-0.21169999,0.0084,0.91959995,9.7634,0.031325,-0.03496,-0.737785,0.6734
1591606951845,-40,-58,-52,-54,0.1875,0.0576,-0.436,0.0184,0.9327,9.7621,0.031409,-0.035794,-0.73763,0.673523
1591606951857,-40,-58,-52,-54,0.1875,0.0576,-0.436,0.0184,0.9327,9.7621,0.031409,-0.035794,-0.73763,0.673523
1591606951869,-40,-58,-52,-54,0.1593,-0.0052,-0.3091,0.017099999,0.9271,9.7627,0.031259,-0.035538,-0.737685,0.673483
1591606951882,-40,-58,-52,-54,0.0879,-0.0938,0.061699998,0.0199,0.90779996,9.7645,0.030475,-0.03492,-0.737993,0.673214
1591606951894,-40,-58,-52,-54,0.0879,-0.0938,0.061699998,0.0199,0.90779996,9.7645,0.030475,-0.03492,-0.737993,0.673214
1591606951906,-40,-58,-52,-54,0.1317,-0.089499995,0.228,0.015299999,0.90349996,9.7649,0.030488,-0.034609,-0.738258,0.672939
1591606951920,-40,-58,-52,-54,0.1317,-0.089499995,0.228,0.015299999,0.90349996,9.7649,0.030488,-0.034609,-0.738258,0.672939
1591606951933,-40,-58,-52,-54,0.1618,-0.0212,-0.0268,0.0245,0.90379995,9.7648,0.030149,-0.034939,-0.738314,0.672876
1591606951947,-40,-58,-52,-54,0.1417,0.0047,-0.1148,0.024899999,0.9072,9.7645,0.030235,-0.035098,-0.738585,0.672565
1591606951963,-40,-58,-52,-54,0.071499996,0.060099997,-0.0066,0.0264,0.9106,9.7642,0.030292999,-0.035281,-0.738631,0.672503
1591606951979,-40,-58,-52,-54,0.071499996,0.060099997,-0.0066,0.0264,0.9106,9.7642,0.030292999,-0.035281,-0.738631,0.672503
1591606951996,-40,-58,-52,-54,0.114199996,0.1375,-0.2418,0.023,0.91169995,9.7641,0.030454,-0.035211,-0.738756,0.672363
1591606952014,-40,-58,-52,-54,0.1144,0.0683,-0.39769998,0.0326,0.922,9.7631,0.030444,-0.035931,-0.738805,0.672271
1591606952030,-40,-58,-52,-54,-0.0371,-0.0695,-0.15339999,0.0371,0.9129,9.7639,0.029948,-0.035748,-0.739025,0.672061
1591606952045,-40,-58,-52,-54,-0.0352,-0.12239999,0.21679999,0.0352,0.88729995,9.7663,0.02912,-0.034732,-0.739405,0.671732
1591606952061,-40,-58,-52,-54,-0.0352,-0.12239999,0.21679999,0.0352,0.88729995,9.7663,0.02912,-0.034732,-0.739405,0.671732
1591606952077,-40,-58,-52,-54,0.14389999,-0.0795,0.35279998,0.0325,0.8738,9.7675,0.028766999,-0.034121,-0.739248,0.671952
1591606952093,-40,-58,-52,-54,0.0802,0.0016999999,0.2153,0.0374,0.871,9.767799,0.028485,-0.034181,-0.739287,0.671918
1591606952110,-40,-58,-52,-54,0.057499997,0.0578,-0.0883,0.0404,0.87369996,9.7675,0.028485,-0.034372,-0.738873,0.672364
1591606952122,-40,-58,-52,-54,0.0814,0.0744,-0.17539999,0.046,0.8865,9.7663,0.028722,-0.035042,-0.738738,0.672467
1591606952135,-40,-58,-52,-54,0.0814,0.0744,-0.17539999,0.046,0.8865,9.7663,0.028722,-0.035042,-0.738738,0.672467
1591606952147,-40,-58,-52,-54,0.0827,0.0708,-0.0093,0.0447,0.8803,9.7669,0.02858,-0.034746,-0.738316,0.672952
1591606952160,-40,-58,-52,-54,0.0885,0.0853,-0.0774,0.048699997,0.88549995,9.766399,0.028614,-0.035073,-0.738198,0.673063
1591606952172,-40,-58,-52,-54,0.0885,0.0853,-0.0774,0.048699997,0.88549995,9.766399,0.028614,-0.035073,-0.738198,0.673063
1591606952184,-40,-58,-52,-54,0.078099996,0.099599995,-0.2642,0.0493,0.881,9.7668,0.028442,-0.034918,-0.738094,0.673192
1591606952196,-40,-58,-52,-54,0.078099996,0.099599995,-0.2642,0.0493,0.881,9.7668,0.028442,-0.034918,-0.738094,0.673192
1591606952209,-40,-58,-52,-54,0.0828,0.053799998,-0.18599999,0.054399997,0.8778,9.767099,0.028131,-0.034979,-0.73823,0.673053
1591606952222,-40,-58,-52,-54,-0.050699998,-0.0705,0.22459999,0.050699998,0.8649,9.7683,0.027825,-0.034366,-0.738248,0.673077
1591606952235,-40,-58,-52,-54,-0.050699998,-0.0705,0.22459999,0.050699998,0.8649,9.7683,0.027825,-0.034366,-0.738248,0.673077
1591606952248,-40,-58,-52,-54,-0.0526,-0.1149,0.3214,0.042799998,0.8504,9.7696,0.027618,-0.033551,-0.73842,0.672938
1591606952262,-40,-58,-52,-54,0.076,-0.0332,-0.0016,0.0416,0.8569,9.769,0.027881,-0.033763,-0.73857,0.672753
1591606952277,-40,-58,-52,-54,0.076,-0.0332,-0.0016,0.0416,0.8569,9.769,0.027881,-0.033763,-0.73857,0.672753
1591606952293,-40,-58,-52,-54,-0.0116,0.030399999,-0.109,0.040999997,0.8619,9.7685995,0.028076,-0.03393,-0.738511,0.672801
1591606952309,-40,-58,-52,-54,0.059899997,0.0793,0.028199999,0.0381,0.8621,9.7685995,0.02818,-0.033845,-0.738743,0.67254597
1591606952327,-40,-58,-52,-54,0.1784,0.1378,0.0389,0.0471,0.87219995,9.7676,0.028199,-0.034527,-0.738518,0.67275697
1591606952342,-40,-58,-52,-54,0.1672,0.1138,-0.029199999,0.0484,0.87659997,9.7671995,0.028289,-0.034751,-0.738753,0.672484
1591606952357,-40,-58,-52,-54,0.1672,0.1138,-0.029199999,0.0484,0.87659997,9.7671995,0.028289,-0.034751,-0.738753,0.672484
1591606952375,-40,-58,-52,-54,0.081,0.0199,-0.1758,0.056199998,0.8822,9.7667,0.028187,-0.035233,-0.738815,0.672395
1591606952387,-41,-62,-48,-55,0.052199997,0.0039,-0.1467,0.055499997,0.8786,9.767,0.028088,-0.035075,-0.738802,0.672421
1591606952398,-41,-62,-48,-55,-0.050499998,-0.0209,-0.1275,0.055499997,0.8786,9.767,0.028116,-0.034732,-0.738865,0.672369
1591606952410,-41,-62,-48,-55,-0.050499998,-0.0209,-0.1275,0.050499998,0.87409997,9.7674,0.028116,-0.034732,-0.738865,0.672369
1591606952422,-41,-62,-48,-55,-0.0515,-0.084699996,-0.059299998,0.0515,0.8692,9.7678995,0.027913,-0.034580998,-0.738837,0.672416
1591606952434,-41,-62,-48,-55,-0.0515,-0.084699996,-0.059299998,0.0515,0.8692,9.7678995,0.027913,-0.034580998,-0.738837,0.672416
1591606952445,-41,-62,-48,-55,-0.047799997,-0.0809,0.0179,0.047799997,0.8556,9.7691,0.027586,-0.033937,-0.738869,0.672428
1591606952457,-41,-62,-48,-55,-0.047799997,-0.0809,0.0179,0.047799997,0.8556,9.7691,0.027586,-0.033937,-0.738869,0.672428
1591606952469,-41,-62,-48,-55,-0.054199997,-0.0393,0.1059,0.0444,0.8533,9.7692995,0.027625,-0.033739,-0.739025,0.672264
1591606952481,-41,-62,-48,-55,0.017099999,9.0E-4,-0.0412,0.0416,0.8522,9.7694,0.027705,-0.033591,-0.738777,0.67254
1591606952493,-41,-62,-48,-55,0.017099999,9.0E-4,-0.0412,0.0416,0.8522,9.7694,0.027705,-0.033591,-0.738777,0.67254
1591606952504,-41,-62,-48,-55,0.0115,0.0173,-0.1979,0.037499998,0.85539997,9.7691,0.027968999,-0.033576,-0.738862,0.672438
1591606952516,-41,-62,-48,-55,0.0115,0.0173,-0.1979,0.037499998,0.85539997,9.7691,0.027968999,-0.033576,-0.738862,0.672438
1591606952527,-41,-62,-48,-55,-0.049999997,-0.0173,-0.1885,0.030399999,0.8509,9.7696,0.028085,-0.033159,-0.738752,0.672574
1591606952539,-41,-62,-48,-55,0.0336,-0.027199998,0.13419999,0.0252,0.8412,9.7704,0.027955,-0.032604,-0.738621,0.67275
1591606952550,-41,-62,-48,-55,0.0336,-0.027199998,0.13419999,0.0252,0.8412,9.7704,0.027955,-0.032604,-0.738621,0.67275
1591606952562,-41,-62,-48,-55,0.111999996,-0.0233,0.2801,0.0252,0.82739997,9.7716,0.027493,-0.032074,-0.738402,0.673035
1591606952574,-41,-62,-48,-55,0.111999996,-0.0233,0.2801,0.0252,0.82739997,9.7716,0.027493,-0.032074,-0.738402,0.673035
