timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1591608303332,-62,-68,-52,-50,-0.343,0.0128999995,-0.1892,1.1178,1.0853,9.682,-0.003808,-0.0796,-0.72778,0.681164
1591608303345,-62,-68,-52,-50,-0.060999997,-0.0543,0.6989,1.1201,1.0447,9.6862,-0.005324,-0.078158,-0.727959,0.681129
1591608303358,-62,-68,-52,-50,-0.060999997,-0.0543,0.6989,1.1201,1.0447,9.6862,-0.005324,-0.078158,-0.727959,0.681129
1591608303370,-62,-68,-52,-50,0.1182,-0.0056999996,0.3457,1.1271,1.0354,9.686399,-0.006005,-0.078047,-0.728769,0.68027
1591608303382,-62,-68,-52,-50,0.1182,-0.0056999996,0.3457,1.1271,1.0354,9.686399,-0.006005,-0.078047,-0.728769,0.68027
1591608303394,-62,-68,-52,-50,-0.0953,-0.024999999,0.2539,1.1151999,1.0153999,9.689899,-0.006308,-0.076873,-0.729292,0.67983997
1591608303409,-62,-68,-52,-50,-0.3037,-0.0647,0.2412,1.0981,1.0060999,9.6928,-0.006093,-0.075913,-0.730256,0.678914
1591608303422,-62,-68,-52,-50,-0.3037,-0.0647,0.2412,1.0981,1.0060999,9.6928,-0.006093,-0.075913,-0.730256,0.678914
1591608303435,-62,-68,-52,-50,-0.1422,0.0277,0.1575,1.064,0.9921,9.6981,-0.005336,-0.074189,-0.730653,0.678684
1591608303449,-62,-68,-52,-50,-0.125,0.035499997,-0.0423,1.037,0.98429996,9.701799,-0.00472,-0.072944,-0.731846,0.677538
1591608303463,-62,-68,-52,-50,-0.125,0.035499997,-0.0423,1.037,0.98429996,9.701799,-0.00472,-0.072944,-0.731846,0.677538
1591608303479,-62,-68,-52,-50,-0.247,0.019299999,-0.0581,0.9923,0.9711,9.7078,-0.003578,-0.070883,-0.73271,0.676829
1591608303495,-62,-68,-52,-50,-0.45929998,-0.0455,-0.1804,0.95949996,0.9575,9.7125,-0.002942,-0.069219,-0.734038,0.675564
1591608303512,-62,-68,-52,-50,-0.5245,-0.045599997,-0.0822,0.88729995,0.92819995,9.722199,-0.00133,-0.0656,-0.735123,0.67475
1591608303531,-62,-68,-52,-50,-0.5685,-0.104899995,0.2641,0.84309995,0.8993,9.7288,-7.78E-4,-0.062972,-0.736464,0.673537
1591608303546,-62,-68,-52,-50,-0.5511,-0.1131,0.0,0.7668,0.8682,9.7379,9.52E-4,-0.059158,-0.737446,0.672808
1591608303562,-62,-68,-52,-50,-0.5511,-0.1131,0.0,0.7668,0.8682,9.7379,9.52E-4,-0.059158,-0.737446,0.672808
1591608303579,-62,-68,-52,-50,-0.5261,-0.1942,0.0154,0.7321,0.8513,9.7421,0.001608,-0.057319,-0.738389,0.671932
1591608303596,-62,-68,-52,-50,-0.28329998,-0.1674,0.3227,0.6853,0.8147,9.7486,0.002062,-0.054323,-0.739163,0.671328
1591608303612,-62,-68,-52,-50,-0.2366,-0.1268,0.4572,0.6583,0.8035,9.7514,0.002662,-0.05297,-0.73972,0.670821
1591608303625,-62,-68,-52,-50,-0.1476,-0.07,0.15969999,0.61829996,0.7956,9.7547,0.003874,-0.051302,-0.74015,0.67047
1591608303638,-62,-68,-52,-50,-0.1476,-0.07,0.15969999,0.61829996,0.7956,9.7547,0.003874,-0.051302,-0.74015,0.67047
1591608303652,-62,-68,-52,-50,0.0234,0.0188,0.2557,0.5845,0.7951,9.7568,0.005136,-0.050119,-0.74015397,0.670547
1591608303665,-62,-68,-52,-50,-0.24329999,0.0951,0.26319999,0.5276,0.807,9.7591,0.007679,-0.048621,-0.740446,0.67031
1591608303679,-62,-68,-52,-50,-0.24329999,0.0951,0.26319999,0.5276,0.807,9.7591,0.007679,-0.048621,-0.740446,0.67031
1591608303693,-62,-68,-52,-50,-0.2563,0.0177,0.3994,0.4917,0.81579995,9.7602,0.009318,-0.047722,-0.740779,0.669986
1591608303706,-62,-68,-52,-50,-0.1522,0.0493,0.2908,0.4464,0.8332,9.7609,0.011624,-0.046832,-0.740837,0.669948
1591608303719,-62,-68,-52,-50,-0.1522,0.0493,0.2908,0.4464,0.8332,9.7609,0.011624,-0.046832,-0.740837,0.669948
1591608303733,-62,-68,-52,-50,-0.118999995,0.1515,0.2131,0.4132,0.8584,9.7602,0.013742,-0.046654,-0.740884,0.669868
1591608303746,-62,-68,-52,-50,-0.0959,0.1389,0.3127,0.3803,0.8907,9.758599,0.016107,-0.046748,-0.740679,0.670036
1591608303760,-62,-68,-52,-50,-0.0959,0.1389,0.3127,0.3803,0.8907,9.758599,0.016107,-0.046748,-0.740679,0.670036
1591608303772,-62,-68,-52,-50,-0.1582,0.15519999,0.109699994,0.3543,0.9332,9.7557,0.018521,-0.04748,-0.74099,0.66957897
1591608303785,-62,-68,-52,-50,-0.1889,0.1013,-0.22909999,0.32619998,0.98719996,9.7513,0.021436,-0.048565,-0.740859,0.669558
1591608303799,-62,-68,-52,-50,-0.1889,0.1013,-0.22909999,0.32619998,0.98719996,9.7513,0.021436,-0.048565,-0.740859,0.669558
1591608303813,-62,-68,-52,-50,-0.1336,0.074999996,-0.41189998,0.32,1.0232999,9.7478,0.022918,-0.049722,-0.740719,0.66957897
1591608303826,-62,-68,-52,-50,-0.110599995,0.0235,-0.5658,0.3067,1.0551,9.7448,0.024509,-0.050479,-0.740702,0.669486
1591608303839,-62,-68,-52,-50,-0.110599995,0.0235,-0.5658,0.3067,1.0551,9.7448,0.024509,-0.050479,-0.740702,0.669486
1591608303853,-62,-68,-52,-50,-0.131,0.1019,-0.77099997,0.2977,1.0649999,9.7439995,0.025164,-0.050557,-0.741027,0.669095
1591608303865,-62,-68,-52,-50,-0.098699994,0.0251,-0.34,0.285,1.0633,9.744599,0.025564,-0.050071,-0.741346,0.668763
1591608303878,-62,-68,-52,-50,-0.098699994,0.0251,-0.34,0.285,1.0633,9.744599,0.025564,-0.050071,-0.741346,0.668763
1591608303891,-62,-68,-52,-50,0.1838,0.023,0.0413,0.27699998,1.0555999,9.7457,0.025562,-0.049525,-0.741919,0.668168
1591608303904,-62,-68,-52,-50,0.0512,0.0401,-0.0958,0.2724,1.0581,9.7455,0.025768999,-0.049491,-0.742675,0.667322
1591608303917,-62,-68,-52,-50,0.0512,0.0401,-0.0958,0.2724,1.0581,9.7455,0.025768999,-0.049491,-0.742675,0.667322
1591608303930,-62,-68,-52,-50,-0.23009999,-0.024999999,-0.23249999,0.26929998,1.0645,9.7449,0.025999,-0.049685,-0.74407,0.665744
1591608303944,-62,-68,-52,-50,-0.301,-0.021599999,-0.1352,0.252,1.0611,9.7458,0.026504999,-0.048981,-0.744559,0.665228
1591608303957,-62,-68,-52,-50,-0.301,-0.021599999,-0.1352,0.252,1.0611,9.7458,0.026504999,-0.048981,-0.744559,0.665228
1591608303970,-62,-68,-52,-50,-0.049599998,0.0941,-0.1742,0.2556,1.063,9.7455,0.026392,-0.049199,-0.74512,0.664588
1591608303984,-62,-68,-52,-50,-0.049599998,0.0941,-0.1742,0.2556,1.063,9.7455,0.026392,-0.049199,-0.74512,0.664588
1591608303999,-62,-68,-52,-50,0.2408,0.2104,-0.1037,0.2789,1.0741999,9.7436,0.025912,-0.050407,-0.744712,0.664975
1591608304013,-62,-68,-52,-50,0.2234,0.2171,-0.0453,0.2865,1.0674,9.7441,0.025364,-0.050422,-0.74511,0.664548
1591608304026,-62,-68,-52,-50,-0.044,0.154,0.0532,0.28919998,1.0717,9.7436,0.025401,-0.050682,-0.745194,0.664433
1591608304039,-62,-68,-52,-50,-0.044,0.154,0.0532,0.28919998,1.0717,9.7436,0.025401,-0.050682,-0.745194,0.664433
1591608304052,-62,-68,-52,-50,0.0077,0.050499998,-0.0254,0.2962,1.0674,9.7438,0.024942,-0.050778,-0.74575,0.663819
1591608304065,-62,-68,-52,-50,0.0447,0.0422,0.3266,0.3082,1.056,9.7446995,0.024092,-0.050752,-0.745833,0.663759
1591608304079,-62,-68,-52,-50,0.0447,0.0422,0.3266,0.3082,1.056,9.7446995,0.024092,-0.050752,-0.745833,0.663759
1591608304093,-62,-68,-52,-50,-0.1398,-0.0223,0.3951,0.3164,1.0519999,9.7449,0.023614,-0.050889,-0.746258,0.663287
1591608304106,-62,-68,-52,-50,-0.148,-0.0036,0.1696,0.31469998,1.0529,9.7448,0.023717,-0.050863,-0.746153,0.663404
1591608304119,-62,-68,-52,-50,-0.148,-0.0036,0.1696,0.31469998,1.0529,9.7448,0.023717,-0.050863,-0.746153,0.663404
1591608304133,-62,-68,-52,-50,0.015899999,0.04,0.0246,0.32729998,1.0681,9.7428,0.023738,-0.051878,-0.746291,0.663169
1591608304146,-62,-68,-52,-50,-0.0015,0.0045,-0.1495,0.34469998,1.0839,9.740399,0.02363,-0.05307,-0.746015,0.663389
1591608304159,-62,-68,-52,-50,-0.0015,0.0045,-0.1495,0.34469998,1.0839,9.740399,0.02363,-0.05307,-0.746015,0.663389
1591608304172,-62,-68,-52,-50,-0.0931,0.0514,-0.236,0.3579,1.0957999,9.7386,0.023535,-0.053974,-0.74593997,0.663405
1591608304185,-62,-68,-52,-50,-0.16849999,0.0252,-0.049,0.3549,1.1025,9.738,0.023881,-0.054121,-0.745856,0.663474
1591608304197,-62,-68,-52,-50,-0.16849999,0.0252,-0.049,0.3549,1.1025,9.738,0.023881,-0.054121,-0.745856,0.663474
1591608304210,-62,-68,-52,-50,-0.247,0.007999999,-0.0493,0.3549,1.1000999,9.7382,0.023802,-0.054029,-0.745843,0.6635
1591608304223,-62,-68,-52,-50,-0.247,0.007999999,-0.0493,0.3549,1.1000999,9.7382,0.023802,-0.054029,-0.745843,0.6635
1591608304236,-62,-68,-52,-50,-0.22739999,-0.0659,-0.1387,0.3353,1.0956,9.7394,0.024391,-0.053194,-0.745925,0.663453
1591608304249,-62,-68,-52,-50,-0.2331,-0.0401,-0.30519998,0.3312,1.0992,9.7392,0.024647,-0.053202,-0.746223,0.663108
1591608304262,-62,-68,-52,-50,-0.2331,-0.0401,-0.30519998,0.3312,1.0992,9.7392,0.024647,-0.053202,-0.746223,0.663108
1591608304275,-62,-68,-52,-50,-0.1961,-0.0093,-0.3949,0.3236,1.0881,9.7407,0.024577,-0.052509,-0.746007,0.663409
1591608304288,-62,-68,-52,-50,-0.1831,-0.0221,0.0053999997,0.3302,1.0713999,9.7423,0.023748,-0.052104,-0.746181,0.663275
1591608304302,-62,-68,-52,-50,-0.1831,-0.0221,0.0053999997,0.3302,1.0713999,9.7423,0.023748,-0.052104,-0.746181,0.663275
1591608304316,-62,-68,-52,-50,-0.1498,-0.042099997,0.366,0.3263,1.0522,9.7445,0.023269,-0.051224,-0.745899,0.663678
1591608304330,-62,-68,-52,-50,-0.0232,-0.0103,0.2681,0.33699998,1.0497999,9.7444,0.0228,-0.051482,-0.745619,0.663989
1591608304345,-62,-68,-52,-50,-0.0232,-0.0103,0.2681,0.33699998,1.0497999,9.7444,0.0228,-0.051482,-0.745619,0.663989
1591608304361,-62,-68,-52,-50,0.082499996,-0.0041,0.1407,0.35869998,1.0436,9.7443,0.021804,-0.051965,-0.745071,0.6646
1591608304376,-62,-68,-52,-50,0.1175,-0.0168,0.4935,0.3728,1.0366,9.7445,0.021071,-0.052164,-0.744576,0.665161
1591608304391,-62,-68,-52,-50,0.1336,0.0064,0.68,0.38599998,1.033,9.7444,0.020477,-0.052464,-0.74413097,0.665654
1591608304407,-62,-68,-52,-50,0.070999995,0.0885,0.2013,0.38979998,1.049,9.742499,0.02093,-0.053183,-0.743464,0.666328
1591608304423,-62,-68,-52,-50,0.070999995,0.0885,0.2013,0.38979998,1.049,9.742499,0.02093,-0.053183,-0.743464,0.666328
1591608304439,-62,-68,-52,-50,0.13069999,0.059699997,-0.1673,0.4085,1.0777999,9.7386,0.021259,-0.054899,-0.742679,0.667054
1591608304455,-62,-68,-52,-50,0.2669,0.0951,-0.42029998,0.41939998,1.0914,9.7366,0.021357,-0.055775,-0.742095,0.667628
1591608304472,-62,-68,-52,-50,0.058799997,0.0098,-0.23269999,0.4315,1.0983,9.7353,0.021166,-0.056436,-0.741713,0.668002
1591608304487,-62,-68,-52,-50,-0.0036,-0.036599997,0.0809,0.4351,1.0957999,9.735499,0.020991,-0.056447,-0.741107,0.668679
1591608304504,-62,-68,-52,-50,-0.0036,-0.036599997,0.0809,0.4351,1.0957999,9.735499,0.020991,-0.056447,-0.741107,0.668679
1591608304520,-62,-68,-52,-50,0.0771,-0.0482,-0.1636,0.44259998,1.0975,9.7348995,0.020793,-0.056759,-0.740793,0.669007
1591608304536,-62,-68,-52,-50,0.0039999997,-0.069,-0.1339,0.447,1.0986999,9.7346,0.020694,-0.056949,-0.7405,0.669319
1591608304551,-62,-68,-52,-50,0.0022,-0.1299,0.1681,0.4488,1.0812,9.7365,0.020025,-0.056342,-0.740517,0.669371
1591608304568,-62,-68,-52,-50,-0.0015,-0.1175,0.2166,0.4428,1.0785999,9.7369995,0.020166,-0.056036,-0.740504,0.669407
1591608304585,-62,-68,-52,-50,-0.0015,-0.1175,0.2166,0.4428,1.0785999,9.7369995,0.020166,-0.056036,-0.740504,0.669407
1591608304602,-62,-68,-52,-50,0.1052,-0.035299998,0.0888,0.4439,1.0749,9.7374,0.020013,-0.055926,-0.740313,0.669632
1591608304618,-62,-68,-52,-50,0.1372,-0.007999999,0.069299996,0.44129997,1.077,9.7373,0.020212,-0.055908,-0.739956,0.670022
