timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1595471908512,-59,-59,-46,-70,-63,-44,-56,-49,0.29999998,-0.1078,0.103099994,0.4238,1.0546,9.7404995,0.051266,-0.027232,-0.105752,0.992696
1595471908548,-59,-59,-46,-70,-63,-44,-56,-49,-0.0287,0.1528,-0.6012,0.4289,1.0684,9.7388,0.051937,-0.027573999,-0.105898,0.992636
1595471908560,-59,-59,-46,-70,-63,-44,-56,-49,-0.21419999,0.0056999996,-0.13939999,0.3989,1.0878999,9.7379,0.053065,-0.026208,-0.106927,0.992503
1595471908576,-59,-59,-46,-70,-63,-44,-56,-49,-0.0267,-0.047199998,0.1231,0.3879,1.0724,9.7401,0.052299,-0.025636,-0.108299,0.99241
1595471908599,-59,-59,-46,-70,-63,-44,-56,-49,0.15879999,0.092599995,0.015,0.3886,1.0698,9.7403,0.05215,-0.025685,-0.108782,0.992364
1595471908612,-59,-59,-46,-70,-63,-44,-56,-49,-0.3579,0.0686,-0.1433,0.3662,1.0644,9.741799,0.051981,-0.024552,-0.109519,0.99232
1595471908624,-59,-59,-46,-70,-63,-44,-56,-49,-0.3579,0.0686,-0.1433,0.3662,1.0644,9.741799,0.051981,-0.024552,-0.109519,0.99232
1595471908636,-59,-59,-46,-70,-63,-44,-56,-49,-0.4842,0.0911,-0.1453,0.3161,1.0615,9.7438,0.052078,-0.022075,-0.111077,0.9922
1595471908651,-59,-59,-46,-70,-63,-44,-56,-49,-0.12789999,0.0641,0.1476,0.3227,1.0493,9.745,0.051422,-0.022334,-0.110981,0.992239
1595471908662,-59,-59,-46,-70,-63,-44,-56,-49,-0.12789999,0.0641,0.1476,0.3227,1.0493,9.745,0.051422,-0.022334,-0.110981,0.992239
1595471908673,-59,-59,-46,-70,-63,-44,-56,-49,0.1019,-0.1011,0.078,0.3281,1.0381,9.745999,0.050839,-0.022504,-0.110165,0.992357
1595471908684,-59,-59,-46,-70,-63,-44,-56,-49,0.1019,-0.1011,0.078,0.3281,1.0381,9.745999,0.050839,-0.022504,-0.110165,0.992357
1595471908696,-59,-59,-46,-70,-63,-44,-56,-49,0.1856,-0.1599,-0.28419998,0.31309998,1.0478,9.745399,0.051441,-0.021743,-0.109093,0.992461
1595471908708,-59,-59,-46,-70,-63,-44,-56,-49,0.1994,-0.1319,-0.2447,0.3188,1.0491999,9.7451,0.051501,-0.021997,-0.108234,0.992546
1595471908718,-59,-59,-46,-70,-63,-44,-56,-49,0.1994,-0.1319,-0.2447,0.3188,1.0491999,9.7451,0.051501,-0.021997,-0.108234,0.992546
1595471908730,-59,-59,-46,-70,-63,-44,-56,-49,0.1827,-0.1165,-0.0495,0.30629998,1.0437,9.746099,0.051296,-0.021304,-0.107816,0.992618
1595471908741,-59,-59,-46,-70,-63,-44,-56,-49,0.1827,-0.1165,-0.0495,0.30629998,1.0437,9.746099,0.051296,-0.021304,-0.107816,0.992618
1595471908753,-59,-59,-46,-70,-63,-44,-56,-49,-0.0436,-0.0963,0.1147,0.29729998,1.0236,9.7485,0.050318,-0.020752,-0.108098,0.992649
