timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1595473379846,-58,-65,-60,-68,-58,-65,-45,-42,-0.0175,0.054199997,0.1352,0.4077,1.0681,9.739699,0.050953,-0.028519,-0.144799,0.987736
1595473379864,-58,-65,-60,-68,-58,-65,-45,-42,0.4349,-0.3751,-0.091,0.39659998,1.066,9.740399,0.050914,-0.02797,-0.145428,0.987661
1595473379890,-58,-65,-60,-68,-58,-65,-45,-42,0.82559997,-0.2403,-0.5507,0.486,1.0392,9.7393,0.048915,-0.032256998,-0.144772,0.987728
1595473379904,-58,-65,-60,-68,-58,-65,-45,-42,0.0603,-0.206,-0.14289999,0.47649997,1.005,9.7432995,0.047167,-0.031654,-0.147522,0.987426
1595473379920,-58,-65,-60,-68,-58,-65,-45,-42,-0.77669996,0.103199996,0.319,0.3825,0.9607,9.7519,0.045511,-0.026768,-0.151988,0.986971
1595473379931,-58,-65,-60,-68,-58,-65,-45,-42,-0.7333,0.2861,0.119799994,0.3825,0.9607,9.7519,0.044256,-0.02596,-0.15409599,0.986722
1595473379944,-58,-65,-60,-68,-58,-65,-45,-42,-0.7333,0.2861,0.119799994,0.36859998,0.9349,9.755,0.044256,-0.02596,-0.15409599,0.986722
1595473379955,-58,-65,-60,-68,-58,-65,-45,-42,-0.1645,0.21069999,-0.1838,0.3588,0.9417,9.7547,0.044656,-0.02555,-0.154783,0.986607
1595473379967,-58,-65,-60,-68,-58,-65,-45,-42,-0.1645,0.21069999,-0.1838,0.3588,0.9417,9.7547,0.044656,-0.02555,-0.154783,0.986607
1595473379980,-58,-65,-60,-68,-58,-65,-45,-42,0.103599995,0.1016,-0.4878,0.3554,0.9428,9.7547,0.044739,-0.025389,-0.154842,0.986598
1595473379990,-58,-65,-60,-68,-58,-65,-45,-42,0.103599995,0.1016,-0.4878,0.3554,0.9428,9.7547,0.045422,-0.024543,-0.154576,0.98663
1595473380004,-58,-65,-60,-68,-58,-65,-45,-42,-0.0251,0.1107,-0.66389996,0.3372,0.9533,9.7543,0.045422,-0.024543,-0.154576,0.98663
