timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1591612297836,-53,-58,-59,-65,-0.0429,-0.1278,-0.0286,0.7784,4.6486998,8.5996,0.244748,-0.040485,0.001927,0.968739
1591612297854,-53,-58,-59,-65,0.17289999,-0.1915,0.387,0.8077,4.6143,8.615399,0.242854,-0.041925,0.002268,0.969153
1591612297875,-53,-58,-59,-65,0.1356,-0.2131,0.603,0.8057,4.5966997,8.625,0.241895,-0.041619,0.003049,0.969404
1591612297888,-53,-58,-59,-65,0.1519,-0.16659999,0.4759,0.8057,4.5966997,8.625,0.239864,-0.041636,0.003629,0.969906
1591612297906,-53,-58,-59,-65,0.1519,-0.16659999,0.4759,0.8091,4.56,8.6441,0.239864,-0.041636,0.003629,0.969906
1591612297917,-53,-58,-59,-65,0.2698,-0.103199996,0.40399998,0.7991,4.5554,8.6475,0.239641,-0.040872,0.004579,0.96999
1591612297928,-53,-58,-59,-65,0.17029999,-0.0109,0.3057,0.82,4.5513,8.647699,0.239443,-0.041913,0.004833,0.969993
1591612297940,-53,-58,-59,-65,0.17029999,-0.0109,0.3057,0.82,4.5513,8.647699,0.239443,-0.041913,0.004833,0.969993
1591612297952,-53,-58,-59,-65,0.081199996,0.029299999,0.3987,0.82089996,4.5601,8.643,0.239956,-0.041839,0.005326,0.969867
1591612297963,-53,-58,-59,-65,0.081199996,0.029299999,0.3987,0.82089996,4.5601,8.643,0.239956,-0.041839,0.005326,0.969867
1591612297975,-53,-58,-59,-65,0.1413,0.0665,0.013499999,0.8294,4.572,8.6359,0.240636,-0.042247,0.00551,0.969679
1591612297986,-53,-58,-59,-65,0.2306,0.1277,-0.1753,0.8294,4.572,8.6359,0.241616,-0.040973,0.0062679998,0.969486
1591612297998,-53,-58,-59,-65,0.2306,0.1277,-0.1753,0.8088,4.5892,8.6287,0.241616,-0.040973,0.0062679998,0.969486
1591612298010,-53,-58,-59,-65,0.26749998,0.1769,-0.2701,0.8307,4.6282,8.6057,0.24384099,-0.042054,0.006608,0.96888
1591612298022,-53,-58,-59,-65,0.26749998,0.1769,-0.2701,0.8307,4.6282,8.6057,0.24384099,-0.042054,0.006608,0.96888
1591612298035,-53,-58,-59,-65,0.1857,0.1426,-0.434,0.8243,4.6528,8.5931,0.245192,-0.041854,0.0060839998,0.968551
