rssi1,rssi2,rssi3,rssi4
-5.60E+01,-5.67E+01,-5.62E+01,-5.90E+01
-5.14E+01,-5.84E+01,-5.93E+01,-5.92E+01
-6.30E+01,-5.95E+01,-5.47E+01,-4.81E+01
-6.27E+01,-6.32E+01,-6.10E+01,-5.67E+01
-6.30E+01,-6.16E+01,-4.30E+01,-5.41E+01
-4.04E+01,-5.30E+01,-5.03E+01,-5.33E+01
-4.54E+01,-5.67E+01,-4.95E+01,-4.94E+01
-5.45E+01,-6.00E+01,-5.05E+01,-4.92E+01
-6.05E+01,-6.45E+01,-5.22E+01,-4.85E+01
-6.47E+01,-6.61E+01,-4.80E+01,-5.80E+01
-4.33E+01,-5.11E+01,-5.32E+01,-5.74E+01
-4.40E+01,-5.54E+01,-5.73E+01,-5.59E+01
-4.93E+01,-5.87E+01,-5.31E+01,-4.98E+01
-5.69E+01,-6.52E+01,-4.37E+01,-5.06E+01
-5.80E+01,-6.19E+01,-5.03E+01,-4.94E+01
