timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,rotation-x,rotation-y,rotation-z,rotation-w
1590562711336,-56,-33,-46,-36,0.0168,-0.0069999998,0.0492,0.009585,-0.004573,0.908166,0.418473
1590562711351,-56,-33,-46,-36,-0.0224,0.0026999998,-0.0683,0.009586,-0.004573,0.908166,0.418473
1590562711363,-56,-33,-46,-36,-0.0224,0.0026999998,-0.0683,0.009586,-0.004573,0.908166,0.418473
1590562711375,-56,-33,-46,-36,0.0064,0.0025,0.0394,0.009615,-0.004572,0.908165,0.418475
1590562711387,-56,-33,-46,-36,0.0064,0.0025,0.0394,0.009615,-0.004572,0.908165,0.418475
1590562711401,-56,-33,-46,-36,-0.0131,0.0025,-0.019299999,0.009615,-0.004571,0.908165,0.418475
1590562711413,-56,-33,-46,-36,-0.003,0.0023,2.0E-4,0.009607,-0.0045559998,0.908165,0.418475
1590562711425,-56,-33,-46,-36,-0.003,0.0023,2.0E-4,0.009607,-0.0045559998,0.908165,0.418475
1590562711437,-56,-33,-46,-36,-0.022599999,0.0023,0.0198,0.009607,-0.0045559998,0.908165,0.418475
1590562711449,-56,-33,-46,-36,-0.0117999995,0.0021,-0.019299999,0.009562,-0.0045249998,0.908167,0.418474
1590562711461,-56,-33,-46,-36,-0.0117999995,0.0021,-0.019299999,0.009562,-0.0045249998,0.908167,0.418474
1590562711473,-56,-33,-46,-36,-0.0117999995,0.0021,0.0198,0.009562,-0.0045249998,0.908167,0.418474
1590562711487,-56,-33,-46,-36,-0.0117999995,0.0021,0.0198,0.009562,-0.0045249998,0.908167,0.418474
1590562711504,-56,-33,-46,-36,0.0071,0.0018999999,-0.0095,0.009598,-0.004531,0.908166,0.418475
1590562711521,-56,-33,-46,-36,-0.0026,0.0018999999,0.01,0.009598,-0.004531,0.908166,0.418475
1590562711537,-56,-33,-46,-36,-0.0023999999,0.0016999999,0.0198,0.009589,-0.004518,0.908166,0.418475
1590562711554,-56,-33,-46,-36,-0.0023999999,0.0016999999,0.01,0.009589,-0.004518,0.908166,0.418475
